Key|Summary|Created Date|Resolution Date|Status|Type|Lead Time|Cycle Time|Resolution Type|Project
GGMA-1461|Product ID 3 is provisioned upon queuing the goodybag instead of it being applied|2013-07-16|Closed|Defect|5|0|Complete
GGMA-1465|SIM Order Limit decreases when ordering SIMs through PHG|2013-08-05|Closed|Defect|24|0|Complete
GGMA-1472|Extra sims being dispatched for Sim Swap |2013-11-29|Closed|Defect|137|0|Complete
GGMA-1474|Regression Test|2013-08-21|Closed|Story|37|0|Complete
GGMA-1485|issue with £10 goodybag + £2.50 BB add-on on mobile site|2015-08-13|Closed|Defect|758|0|Complete
GGMA-1487|Display alert to force min �10 topup on activation|2013-07-19|Closed|Story|3|0|Complete
GGMA-1492|Goodybag image is inconsistent on IE 10. |2013-07-19|Closed|Defect|3|0|Complete
GGMA-1495|activation's stuck in bpm cause of the issue with tethering : p1 issue on live |2013-07-17|Closed|Defect|1|0|Fixed
GGMA-1496|Users with wrong role|2014-05-12|Closed|Defect|299|0|Complete
GGMA-1497|CLONE - Recommendor activations|2013-07-19|Closed|Defect|2|0|Fixed
GGMA-1498|Recurring Goodybag Alert|2015-08-13|Closed|Story|756|0|Complete
GGMA-1499|Improve Design Architecture for Set-up Wizard|2015-08-13|Closed|Story|756|0|Complete
GGMA-1501|Topup(responsive) another giffgaff account|2013-11-14|Closed|Story|119|0|Complete
GGMA-1506|VAT refund |2013-08-21|Closed|Defect|34|0|Complete
GGMA-1508|Issue in SIM redelivery|2013-12-04|Closed|Defect|139|0|Complete
GGMA-1512|flows stuck for the process SIMStatusChange and flow Handle Update Sandvine |2013-08-21|Closed|Defect|33|0|Complete
GGMA-1513|mismatch in profile|2015-08-13|Closed|Defect|755|0|Complete
GGMA-1514|Sims not provisioned on Sandvine cause of Completion date issue in port in table |2013-08-21|Closed|Defect|33|0|Complete
GGMA-1515|Display List of Handsets|2013-07-31|Closed|Story|12|0|Complete
GGMA-1516|Sort Handsets|2013-07-31|Closed|Story|12|0|Complete
GGMA-1517|Filter Handsets|2013-07-31|Closed|Story|12|0|Complete
GGMA-1518|View Device Details|2013-08-21|Closed|Story|33|0|Complete
GGMA-1519|View Handset Related Videos and Quotes|2013-08-21|Closed|Story|33|0|Complete
GGMA-1521|Handset Details Overview Tab|2013-08-21|Closed|Story|33|0|Complete
GGMA-1522|Handset Details Specification Tab|2013-08-21|Closed|Story|33|0|Complete
GGMA-1523|Handset Details Support Tab|2013-08-21|Closed|Story|33|0|Complete
GGMA-1524|Phone Reviews and Star Ratings|2013-08-21|Closed|Story|33|0|Complete
GGMA-1525|Promotional Information on handset range page|2013-07-31|Closed|Story|12|0|Complete
GGMA-1527|Payment Plan - Buy It Now, Existing Member|2013-08-21|Closed|Story|33|0|Complete
GGMA-1528|Existing Member Login|2013-08-21|Closed|Story|33|0|Complete
GGMA-1529|Existing Member About You - Buy It Now|2013-08-21|Closed|Story|33|0|Complete
GGMA-1530|Existing Member Address - Buy It Now|2013-08-21|Closed|Story|33|0|Complete
GGMA-1532|Existing Member Credit / Debit card details - Card Details Saved|2013-08-28|Closed|Story|40|0|Complete
GGMA-1534|Review Order - Buy It Now, Existing Member|2013-08-28|Closed|Story|40|0|Complete
GGMA-1535|Buy Now Order Submit, Existing Member (Order Submit, Verify Card, Order Confirmation)|2013-09-11|Closed|Story|54|0|Complete
GGMA-1536|Verify Card|2013-08-21|Closed|Story|33|0|Complete
GGMA-1537|Order Success Confirmation page|2013-10-23|Closed|Story|96|0|Complete
GGMA-1539|Send member email when processing the consignment file (OBS054)|2013-10-28|Closed|Story|101|0|Complete
GGMA-1541|Marketing Supression fails|2013-08-21|Closed|Defect|30|0|Fixed
GGMA-1542|message displayed to top up min £10 on mobile site for Single Sim Activation|2015-08-13|Closed|Defect|752|0|Complete
GGMA-1566|Sort Handsets by Community|2013-10-17|Closed|Story|87|0|Complete
GGMA-1587|Technical: Setting up DEV server|2013-07-31|Closed|Story|8|0|Complete
GGMA-1592|Regressions testing activities|2013-08-07|Closed|Story|15|0|Complete
GGMA-1594|SMGM requirements for 1st Week September|2013-09-04|Closed|Story|42|0|Complete
GGMA-1595|4G SIM Testing|2013-08-07|Closed|Story|14|0|Complete
